S.No.,X_1,X_2,X_3,X_4,X_5,X_6,Y
1,1,1,0,341.1201759,189.152977,95.55485275,75.18180738
2,0,0,0,118.6100868,88.05878773,66.45606407,93.01158133
3,1,1,0,77.25457572,63.91527665,40.76602354,-1.588631774
4,1,0,1,476.9805229,261.5589684,144.3359025,512.7788929
5,1,0,1,258.2258457,198.1450028,144.4875971,364.0638235
6,0,1,1,436.479141,229.3079374,123.0221911,257.8135921
7,0,0,0,170.8616477,98.86665568,43.90954628,131.8753969
8,0,0,0,251.9661604,126.2447298,65.49429715,213.3494912
9,1,1,0,422.6422911,190.3517446,69.00791493,108.0216222
10,1,0,1,183.7105465,106.3287657,69.11965759,222.3803007
11,0,0,0,39.94416167,66.75042325,69.04823916,52.0690361
12,0,0,0,460.7677745,247.8827395,128.6138542,357.4400421
13,1,0,1,157.8876771,100.4031807,47.25329638,204.4371215
14,1,1,0,399.588637,180.1807112,65.15597577,138.3699904
15,1,0,1,220.5388103,128.0327181,81.57482483,257.5087715
16,0,1,1,423.7735753,231.9873142,148.8269454,268.3995404
17,0,1,1,409.4401983,237.5511916,150.9737903,256.8145312
18,0,0,0,215.7710437,100.3344756,42.45271109,180.291194
19,1,0,1,494.4980452,244.0369471,115.5275702,517.9441225
20,0,0,0,272.8967592,155.5649193,95.11215184,213.9144271
21,0,1,1,75.54019022,70.48771243,61.71864451,88.73769096
22,1,0,1,65.63998659,58.8917728,42.12121976,115.9191048
23,0,0,0,93.1404617,73.64009867,47.89485972,90.11052322
24,0,1,1,242.1560908,101.3403371,36.35782397,149.9998791
25,0,0,0,124.7117447,81.48096123,55.70201826,123.2667833
26,0,1,1,220.7644242,126.7253193,70.10628715,122.7018792
27,0,0,0,409.9905321,215.7166155,117.662661,319.9966908
28,1,1,0,367.718896,220.5901032,148.7834507,68.90950895
29,1,0,1,32.49066006,69.51678388,77.95242444,143.5831397
30,0,1,1,380.4608207,153.5851593,45.20765451,190.5359234
31,1,0,1,442.7940295,184.8547579,70.80925017,430.4972452
32,0,0,0,339.6095699,167.9601308,82.61646647,242.5189502
33,1,1,0,182.1048043,80.08619194,35.66596997,53.22393722
34,0,0,0,124.460883,149.7812729,146.845958,88.50796769
35,1,0,1,297.0551515,184.0147169,135.0442267,373.3950397
36,0,0,0,274.1688903,172.0558662,124.505052,203.658276
37,0,1,1,505.5387782,229.968529,108.7346965,261.3348197
38,1,0,1,36.24412508,44.80607374,45.19732934,80.16776546
39,1,1,0,256.8210174,105.2999197,36.71461522,99.20951711
40,1,0,1,203.0581281,102.4911186,36.2739327,220.9296122
41,1,1,0,279.6342777,192.7660409,148.1548583,31.55463095
42,0,0,0,77.1488066,78.58285031,67.26630264,76.69764915
43,1,0,1,153.3684228,168.5995824,147.0670892,312.1530712
44,0,0,0,408.5244792,209.9991311,112.2892987,305.7691063
45,1,1,0,172.3928433,115.9407108,86.19875756,29.38462332
46,0,0,0,177.3456581,101.8089378,61.56216403,130.8291958
47,0,0,0,160.5834601,125.456755,95.99571974,142.4450752
48,0,1,1,388.094131,206.2478913,120.2566988,230.2036044
49,1,1,0,230.9290098,93.80344182,32.39678186,75.27795122
50,0,1,1,282.2170149,165.1154469,106.2169923,183.7293201
51,1,0,1,90.12209641,82.96138932,73.4440691,167.7665468
52,1,0,1,472.9796977,204.2826015,82.07935457,459.8181075
53,1,1,0,348.9675322,148.3943549,56.21120003,109.4521243
54,0,0,0,412.4353391,177.3032752,60.16041882,317.1932291
55,0,1,1,301.8542546,181.4342587,103.0309731,192.202951
56,1,1,0,504.1241376,261.5680546,130.5510243,111.1474335
